FDC_ID,Calories,Fat,Cholesterol,Sodium,Carb,Fiber,Sugar,Protein,Potassium,Iron,Calcium,Vitamin_A,Vitamin_B6,Vitamin_B12,Vitamin_C,Vitamin_D,Vitamin_E
337889,kcal,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
337890,kcal,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
337891,kcal,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
167782,kJ,g,-1,mg,-1,-1,-1,g,mg,mg,mg,µg,-1,-1,-1,-1,-1
171687,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,-1,-1
171686,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,-1,-1
168061,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,-1,-1
341107,kcal,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
341169,kcal,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
168992,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
168993,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
169814,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
169823,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,-1,µg,-1,-1,-1,-1,-1
168976,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,-1,mg,-1,-1,-1,-1
168977,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,-1,mg,µg,-1,-1,-1
340058,kcal,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
168749,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
168746,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
173168,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
169573,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,-1,-1
169574,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,-1,-1
173664,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,-1,mg,µg,-1,-1,-1
174817,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
174819,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,-1,-1
175098,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
175097,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
174141,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
168750,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,-1,-1
168752,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,-1,-1
167723,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
168753,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,-1,-1
173662,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,-1,mg,µg,-1,-1,-1
174810,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,-1,-1
174812,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,-1,-1
173164,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,-1,-1
169070,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
175112,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,-1,-1
169071,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
173185,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
174837,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
171906,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
171908,kJ,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
344434,kcal,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
344433,kcal,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
344432,kcal,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
344439,kcal,g,mg,mg,-1,-1,-1,g,mg,mg,mg,µg,mg,µg,-1,µg,-1
324299,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324301,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324159,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
324161,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
